card_name,current_price,market_value,max_buy_price,estimated_profit,decision,auction_end_time,snipe_seconds,snipe_time,target_bid,notes,status
2024 Panini Select Neon Green Shock Prizm #225 Josh Allen Bills 176/499 PSA 9,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-11T02:38:01.000Z,,,235.25,https://www.ebay.com/itm/377006679865?_skw=josh+allen+psa+10&hash=item57c7596739:g:2i8AAeSwURJppzJs,WATCHING
JOSH ALLEN - 2025 Panini Select TIE-DYE PRIZM 5/25 SP - Bills - PSA 10 GEM MINT,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-11T03:00:01.000Z,,,235.25,https://www.ebay.com/itm/147181182699?_skw=josh+allen+psa+10&hash=item2244ae9eeb:g:XygAAeSwDI5ppdZq,WATCHING
JOSH ALLEN PSA 10 2020 PANINI DONRUSS OPTIC #14 ORANGE PRIZM 68/199 BILLS 9552,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-16T01:38:00.000Z,,,235.25,https://www.ebay.com/itm/188142552428?_skw=josh+allen+psa+10&hash=item2bce2b856c:g:YskAAeSwMENpsIwy,WATCHING
Josh Allen POP 1 PSA 10 GEM MINT OG ORIGINAL GRIDIRON 2025 Origins Bills!!,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-18T01:39:40.000Z,,,235.25,https://www.ebay.com/itm/117080781506?_skw=josh+allen+psa+10&hash=item1b428ef2c2:g:0PQAAeSwy85psMdV,WATCHING
2018 PANINI DONRUSS OPTIC #154 JOSH ALLEN ROOKIE RC PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-12T01:05:00.000Z,,,235.25,https://www.ebay.com/itm/117060993062?_skw=josh+allen+psa+10&hash=item1b41610026:g:53YAAeSwrclpoiZF,WATCHING
2025 PANINI PHOENIX RESURGENT SNOW GLOBE #3 JOSH ALLEN PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-13T01:45:00.000Z,,,235.25,https://www.ebay.com/itm/298072785238?_skw=josh+allen+psa+10&hash=item456685c156:g:6pYAAeSweYFpof-x,WATCHING
2021 Panini Flawless Josh Allen Patches Silver #/20 Bills PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-12T01:11:15.000Z,,,235.25,https://www.ebay.com/itm/377014021631?_skw=josh+allen+psa+10&hash=item57c7c96dff:g:7e8AAeSwQ-tpqxA3,WATCHING
2023 Panini Select Josh Allen Red Prizm Club #/49 Bills PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-16T02:09:00.000Z,,,235.25,https://www.ebay.com/itm/127730839020?_skw=josh+allen+psa+10&hash=item1dbd59edec:g:qD8AAeSwdUVpr~Rl,WATCHING
JOSH ALLEN 2025 PANINI PRIZM PURPLE CRACKED ICE BILLS /225 PSA 10 Q3098,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-18T00:45:00.000Z,,,235.25,https://www.ebay.com/itm/277790927056?_skw=josh+allen+psa+10&hash=item40ada128d0:g:4RwAAeSw-olpsH0U,WATCHING
JOSH ALLEN PSA 6 2018 PANINI PRIZM PATENTED PENMANSHIP GOLD ROOKIE AUTO 06/10 RC,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-17T02:46:00.000Z,,,235.25,https://www.ebay.com/itm/188128897642?_skw=josh+allen+psa+10&hash=item2bcd5b2a6a:g:8HEAAeSwq~1pq2TY,WATCHING
